Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HTI,,,,,8.75,12.5,14.5,18.75,18.75,24.0,28.0,25.0,41.5,50.0,67.75,96.25,104.25,121.5,124.75,93.5,89.5,90.75,87.25
HND,31.5,30.75,26.5,14.75,11.75,11.5,16.5,15.75,11.75,19.5,16.0,28.5,28.75,32.25,48.0,44.75,53.25,56.75,64.0,70.25,79.0,130.5,135.5
HKG,14942.5,17145.5,19274.0,21190.75,23846.75,25923.25,27948.25,30720.5,32339.75,33944.75,35692.75,36479.5,37763.25,39512.5,40835.75,43042.0,45878.5,49350.0,53062.0,57155.75,61409.0,64839.0,70056.0
HUN,12267.0,13057.75,13567.75,13897.75,14685.75,15369.75,16401.75,17363.75,18476.5,19815.75,20611.5,21111.5,21716.0,22006.25,22595.25,23618.75,24394.0,25470.0,26580.5,27768.25,29257.25,30841.25,33148.75
IND,54970.25,56912.25,59441.0,63432.0,68986.25,75813.5,84824.75,96245.5,109038.75,124747.25,142738.25,162221.5,187392.25,213235.25,237241.5,266343.0,297377.5,339650.5,380914.0,430846.0,478696.75,517161.75,574170.0
IDN,1230.5,1371.0,1458.75,1539.0,1618.25,1763.5,1998.75,2322.25,2616.25,2880.5,3430.0,4146.25,5186.5,6556.5,8026.5,10164.5,13610.0,19613.25,32054.5,51531.75,76152.0,100231.25,119547.5
IRN,2297.75,3028.0,3864.5,5255.0,7370.25,9773.5,13349.5,18311.0,24544.75,33129.5,43686.0,54864.5,69270.0,80988.5,90631.5,100212.5,106214.5,117741.25,130761.25,143888.0,159887.5,173628.0,186907.75
IRQ,38.5,57.0,63.0,71.75,93.5,88.5,103.5,138.75,186.5,298.75,478.5,761.75,1183.0,1669.0,2377.5,3190.0,3949.0,5495.25,7663.0,12593.0,19988.75,29912.5,38427.25
IRL,7321.25,7888.5,8560.5,9380.75,10300.5,11538.75,13461.75,15297.75,17503.25,19526.5,21450.5,23628.75,25677.0,27198.5,28168.25,29040.25,29933.0,31724.0,33374.75,35101.25,37124.5,39506.0,43094.25
ISR,27728.5,28517.5,29076.75,30176.5,31718.25,33078.5,34289.25,35906.25,37210.25,38615.5,39991.0,40584.75,41480.75,42316.25,43151.5,44796.75,46715.75,48820.5,50965.25,52653.75,54078.0,55832.5,58932.5
ITA,99071.25,102541.5,106198.75,111824.75,120272.75,128182.25,136886.75,147274.0,157775.5,168789.25,180601.5,189506.25,198002.25,207814.5,218967.5,233185.75,249733.75,266159.5,279526.75,293514.0,308442.75,331998.0,360081.75
JAM,115.75,113.75,115.75,161.75,167.75,203.25,188.5,196.75,199.75,224.75,212.75,196.0,211.25,207.0,224.75,276.5,276.0,258.75,251.5,208.25,212.25,195.75,205.75
JPN,245312.5,255772.25,262303.0,270221.75,278573.75,283639.5,292936.5,302828.5,307567.75,312745.0,316371.5,315465.25,317053.25,319104.0,318929.25,320254.5,322168.0,329424.5,334594.25,341920.5,349799.25,353427.25,362342.0
JOR,1055.5,1153.25,1265.25,1282.5,1510.5,1661.5,1939.25,2290.75,2630.5,3241.5,3836.0,4504.25,4999.0,5294.25,5462.75,5514.75,5664.25,6372.0,7202.25,8540.75,10589.75,12728.0,15609.5
KAZ,81.75,170.25,186.0,228.25,261.25,306.0,335.75,425.5,443.75,471.5,450.75,404.75,405.5,537.5,1020.75,1820.0,2963.75,4534.5,6037.25,7800.25,9795.0,11283.0,12758.0
KEN,1349.5,1326.0,1299.5,1369.5,1530.5,1679.75,1832.25,2003.25,2161.75,2389.25,2647.0,2919.75,3222.5,3560.5,3889.25,4364.75,4762.0,5226.25,5728.5,6304.25,6943.0,7995.5,8916.0
KWT,1220.0,1226.5,1269.25,1308.75,1295.0,1402.0,1502.0,1653.5,1825.5,2021.5,2185.5,2339.5,2415.0,2384.75,2435.25,2543.75,2795.0,3084.75,3329.25,3718.75,4216.5,4676.75,5340.0
KGZ,,,,,,,,18.25,24.0,43.5,42.0,25.25,28.0,18.75,43.75,62.75,74.75,90.5,105.5,114.25,141.5,204.75,232.75
LAO,,,,6.5,20.25,39.25,58.0,86.25,98.75,114.75,112.75,132.25,151.25,200.5,262.0,298.0,343.5,364.75,340.75,388.25,408.75,363.5,387.5
LVA,825.5,851.75,801.75,902.5,853.25,865.25,904.5,881.75,912.0,1099.0,1206.0,1418.5,2008.0,2482.0,2965.5,3201.75,3540.0,3903.0,4418.25,5051.5,5461.25,5844.75,5952.0
LBN,443.75,585.75,723.75,843.25,969.0,1080.0,1222.0,1505.0,1852.5,2115.25,2457.75,2595.25,2881.25,3248.25,3540.75,4072.5,4739.75,5510.75,6214.5,7139.5,8079.75,8913.25,9646.25
LBR,,,,,,,,,,,,,,,10.75,13.5,30.0,43.5,78.25,81.0,80.25,72.5,95.75
LBY,16.25,19.0,20.5,24.0,35.0,27.0,46.0,74.0,116.75,169.5,246.5,349.25,352.0,315.25,358.5,365.25,443.25,534.75,601.25,643.75,663.5,750.5,878.5
LTU,1161.75,1292.0,1450.5,1686.5,1946.5,2324.25,2765.5,3410.75,4041.75,4620.25,5222.25,5381.5,5582.5,5746.0,6083.0,6665.25,7120.5,7613.0,8071.25,8677.25,9332.5,10426.25,11664.25
MKD,119.25,143.0,190.25,221.5,241.5,261.0,283.0,282.5,340.25,408.75,524.25,652.75,792.75,835.5,932.25,1106.25,1294.75,1387.75,1617.0,1629.5,1662.25,1634.75,1427.25
MDG,77.75,90.25,109.0,109.5,148.0,162.0,185.0,209.5,236.75,278.5,309.25,335.0,335.75,365.5,391.25,402.25,436.25,408.25,421.5,428.75,469.5,494.5,461.75
MWI,143.0,163.5,182.5,197.5,209.75,232.75,261.75,293.5,342.25,421.0,473.5,513.25,571.5,619.25,670.5,732.0,788.75,884.25,1009.25,1151.75,1256.75,1390.5,1515.25
MYS,2609.25,2981.5,3258.75,3811.0,4529.0,5223.75,6332.5,7797.75,9334.25,12545.0,17836.5,24250.75,32923.5,40637.75,47281.0,54548.25,60419.75,67325.75,76064.0,83598.25,91590.25,98212.5,104759.5
MLI,68.75,76.0,62.5,50.5,66.0,88.75,104.75,146.5,182.75,199.75,224.5,225.25,267.0,310.25,331.0,350.0,375.5,360.25,415.0,460.5,457.75,447.5,427.25
MUS,5.5,10.5,23.25,25.0,27.0,51.75,59.0,52.0,53.5,40.5,51.5,60.5,68.75,84.0,127.25,123.25,147.25,202.75,293.25,391.25,592.5,636.75,634.75
MEX,13284.75,14355.75,15598.0,16926.75,18578.5,20594.5,22811.25,25596.5,27749.75,30295.0,32525.25,34233.75,36621.25,38469.5,40735.25,43507.75,46493.25,50576.5,54727.0,58990.25,64293.5,69863.5,76354.25
MDA,353.75,371.25,393.75,442.25,480.0,456.75,543.25,560.0,572.5,606.5,606.25,608.25,605.75,633.0,610.75,619.5,595.75,653.75,715.25,671.25,659.75,590.75,559.25
MNG,16.25,20.75,20.5,21.5,30.75,42.5,54.25,80.5,106.25,140.5,177.25,234.25,236.75,277.25,345.75,353.5,402.0,399.75,401.75,495.75,523.75,569.0,638.5
