Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
JPN,45263924364,42101178633,43053851488,39706985902,39001580704,43214585080,40560305608,42426720627,47827298214,60393912134,70135860025,81845368627,95968609431,1.21609E+11,92958688051,1.20803E+11,1.3688E+11,1.28157E+11,1.18953E+11,1.15028E+11,99623771706,97809322108,1.05879E+11,1.11632E+11,1.04674E+11,94727311742,1.19792E+11,1.30673E+11
KAZ,1103595518,3474853364,4181968132,5828334891,4108371698,9204654464,9187855104,10766647292,13416680875,20227178469,28577765050,38826930678,48602932372,69229004558,41975980989,55087693080,81635548638,86588803376,76695286781,73186675058,43702038160,34983549520,48788829684,60886914663,58069491061,46385295130,64138939966,89433860830
KGZ,320318985,420921959,190360259,374215005,252566849,405324906,374310393,379106134,447559861,521570051,535516180,619625693,930262614,1079023979,901049122,1174063071,1622065720,1194753651,1411428522,1596831924,1075667863,1232495862,1599645398,2239426032,2489116188,2542163180,1982086652,1436118902
KHM,182454708,84348414,177210180,121900684,91921261,399304032,324841975,539094468,489596360,794183535,768024854,805908722,782501227,1219367629,2121102074,2360400848,2453421182,1850162043,1298961391,1789418149,2207444008,3960250939,3185176473,3487399280,7868829851,10180307274,6355441322,9233582413
KOR,24794931943,27329587646,31066920546,32829163138,29351810708,33095876085,29171966094,27239977645,33755782782,43866203756,50375108661,62777323307,72790006502,95635362873,72338113150,92298333688,1.28318E+11,1.32296E+11,1.21944E+11,1.23968E+11,98599189517,90844114698,1.08501E+11,1.22221E+11,1.11982E+11,91983104094,1.24286E+11,1.52928E+11
KWT,8940103133,10633040408,11233034628,8154863911,10997730297,16697792183,13701507497,13157835031,16938084487,24061981251,34312598412,45833344556,51859170897,76296318591,46721536825,58382447358,83729972915,1.01869E+11,96137218162,88897705909,49012238998,37637895440,47601371131,63097458243,55852968728,36777711281,54329053604,87140481012
LAO,136140116,117254479,123615051,81379273,103970741,143318317,146870967,154397942,183163012,222254280,374680968,814317722,877421964,1058516428,1082628100,2319619320,2670831960,2905885131,4195843005,3802124356,3311906935,3854195637,4323264626,4819933845,4712927545,5093167339,7441240370,6633296546
LBN,349975771,441375552,534679064,503061765,612207689,670185417,722007601,878951230,1359382083,1437934396,1423040492,1760215806,2084450050,2582069099,2486570710,2817735427,3438470949,3605871883,3127944727,2524562969,2192250594,2442224572,2411836884,2367195832,3007618445,3028995127,3029387815,2635638822
LKA,960006356,1071427890,1117545592,1136543136,1509522238,1686444319,1554922159,1702775489,1772199258,2035188111,2322862424,2490457353,2874144410,3180063476,2822813809,3164278895,3955093475,3501182934,3822833478,4001019697,3581035392,3499996217,4130561101,3392757710,4066479473,3838358739,4863153556,4970402812
MMR,1040750734,943183829,823681794,701652531,781755298,1030670722,1733262668,1872625801,1831884807,2530737843,3050077559,3790917827,4048708203,5473289306,4979848513,5582101411,7777317531,8308668978,10011260074,25568974279,14890315350,11929629980,11801840096,13481495690,13680947390,10999139198,10866034749,15154743816
MNG,176218655,451020769,440278213,314417158,226061293,333902899,353195117,348399905,438516673,674863823,901826282,1321031340,1753065123,1758538845,1442377609,2676797575,3774641411,3774186324,4287006703,5810859906,4743522196,5305286980,6595921401,7366008413,7733971734,8122935953,9990992604,12963094759
MYS,23223998537,24770945604,24679797858,20866513190,21926846237,24725168916,23446148898,25123261592,29940805915,38980739094,44123668003,52901885315,65570470097,87212329518,62970680705,81390517835,1.04164E+11,1.0572E+11,1.09619E+11,1.09659E+11,86251063428,75491536360,89214619289,1.01197E+11,97180633981,81867669226,1.1752E+11,1.45271E+11
NPL,42603274,61934347,80449888,135897855,202197768,213273218,236533306,177674836,296673020,206212976,247591436,208875244,312373795,443342551,460016121,454203547,458659455,500859907,477784970,480403574,416004249,442063666,387840363,414029268,570149321,547975729,1269244074,818962060
OMN,5182303475,5654486761,6594854520,4356223086,5744573844,9591876257,9513410571,9380989226,9026915666,12298806292,17319432071,20788410214,20851361695,30173439709,20884417241,28018614140,38182701391,41711245573,46722528180,42922893218,27264859111,25078979086,27010682460,36251978616,34143022106,28555247100,46931827431,63523072632
PAK,1562087047,1522083543,1515052686,1691712613,1541672684,1716102616,1939720495,1749750078,3102739160,3291348334,4736869559,5483842661,6526892624,9865112400,7404302866,9545159674,11974508519,12829878253,11252844709,10759915225,9269126440,8172700641,8912803077,10407892816,10179193725,8432666075,10599511583,13088311513
PHL,5048104969,5723017125,5740290521,5384972649,5212216343,5851738714,5329152425,5451482915,6638260621,7676738618,8768320175,11859983242,13630648602,14455230393,11088868096,14574868183,17819421160,16394614105,18576730451,20101479454,16423159431,16308230843,19383904050,18711790336,18770053450,17762139032,21282706799,30476941846
PRK,326096617,321608600,535394585,283835111,305389353,368309556,383488338,490672324,489112768,710985020,633465629,675765956,750731651,919717221,781234896,1185588597,2092801552,1969527302,2312061023,2032628745,1711764989,1833996026,1028019519,134420316,129952912,63745788,117580941,143555891
PSE,NaN,NaN,NaN,NaN,NaN,28696277,27099415,21344236,28857579,22849002,32756732,35929742,367236984,390317991,349377748,409231677,535595721,571338122,654895509,679174692,690640580,660664421,759179178,814455905,768735424,751231150,943710507,1098172777
QAT,2622143961,3343232892,4436851796,3802198365,5016959973,9391901453,10660866550,9062019843,12306164852,16416167403,21525882508,29240871848,41777771763,61342391761,37837746938,72716585096,1.04968E+11,1.30222E+11,1.28123E+11,1.18003E+11,61882137023,54405876043,62979328271,69029152009,72180075911,42535607249,86808697147,1.08169E+11
SAU,41329688079,48925243464,49938407592,34083280373,46170876763,78934908145,67274553820,65520326144,1.07871E+11,1.42909E+11,1.45738E+11,1.8623E+11,2.28086E+11,2.87992E+11,1.56159E+11,2.4686E+11,3.05665E+11,3.28589E+11,3.24215E+11,3.08407E+11,1.50726E+11,1.62024E+11,1.62832E+11,2.20463E+11,1.94141E+11,1.29421E+11,2.0108E+11,3.0579E+11
SGP,21556314648,22877967972,21080976872,18186075771,16987015266,20574064710,17779887329,19616478148,23653277808,32537138863,44529176800,54718116593,62187895702,89651141115,59211656727,73713214422,95617571540,1.02888E+11,1.06354E+11,1.05529E+11,81371258231,71299417501,84498049692,96033651378,88338213654,69090804265,97289643313,1.15136E+11
SYR,2451993570,2845905905,3038937164,2129720456,2776393884,3911018154,6640395867,10332481107,8777050477,9571021128,5365271768,6489544880,7463938182,10483390596,7177567976,8869562964,6307797138,1348506496,1031046996,802022288,641718379,678514417,662088683,605583329,605717712,738149198,848818619,644457906
THA,18886520080,19782785703,20486095079,18857816521,19756190551,21908691099,21368007171,22098027688,25469066791,30204820946,33660878816,40250431658,50400818985,64999681081,59536122208,66785174786,84244456775,82184865729,76597736954,75803825086,70364553627,72198797470,77299164810,82525188628,81796930401,80496750124,86151627243,99861551917
TJK,87216708,113333302,89154781,102847980,154596229,261736748,206331070,305350879,344668637,358623592,548441992,658497612,870428955,820257651,729587362,913597972,809216474,884626370,712026862,641201751,679591556,912889763,1145088825,1160460083,986173154,1411368005,1788176427,2057105027
