Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
THA,24.25,23.0,35.5,52.25,60.0,78.25,89.75,102.5,122.25,130.25,136.25,131.75,150.5,185.0,218.25,265.0,280.25,302.0,349.5,385.5,403.75,334.0,225.25
TUN,,4.75,5.75,7.0,8.25,13.25,18.0,20.5,25.75,23.75,25.25,23.5,24.25,27.75,30.0,33.0,36.25,36.0,32.75,33.0,31.75,28.5,22.5
TUR,48.5,77.25,91.75,110.5,143.75,163.5,212.75,265.25,336.75,438.0,529.5,627.5,717.75,793.75,887.25,1032.25,1193.25,1432.75,1698.5,1854.75,2091.0,1758.0,1242.75
TTO,,,,,,,4.5,6.25,7.5,6.75,7.75,9.0,8.25,8.75,8.0,5.25,4.25,4.5,5.25,8.5,8.5,7.25,5.0
UKR,67.0,80.75,95.75,123.75,150.75,166.5,189.75,189.25,198.25,208.75,219.5,233.0,240.0,276.5,285.0,326.5,340.0,338.5,360.0,369.25,393.75,318.0,220.25
UGA,,,,,,,,,,,,,,,4.5,6.0,6.0,6.25,4.5,7.5,7.75,7.0,6.0
GBR,7558.0,8672.75,9984.75,11355.25,12539.75,13373.75,13667.75,13894.0,14402.0,15031.5,15473.5,15852.0,15790.25,15716.75,16094.75,16696.75,17361.5,18072.5,18420.0,18544.75,18749.75,15793.75,11199.0
USA,49551.75,56188.5,66412.5,75098.5,82653.0,87808.0,90965.0,95169.25,100957.75,107742.5,109943.25,109817.75,108095.25,107837.5,112796.0,125386.5,132667.75,138592.25,143466.25,143182.25,145837.0,118267.5,82093.0
URY,,5.5,7.25,10.0,12.25,11.75,15.25,15.25,18.0,24.5,25.25,25.5,22.0,18.25,19.75,25.25,33.0,33.0,39.5,39.25,39.75,37.5,24.75
UZB,5.75,7.0,8.5,8.75,6.5,7.25,8.25,7.25,9.75,7.75,7.5,7.5,6.5,8.0,7.0,7.25,7.0,5.75,5.75,7.75,7.25,6.5,4.75
VEN,17.0,20.5,20.75,24.5,23.25,19.5,17.0,11.75,14.25,18.25,18.75,18.5,14.5,11.5,15.5,22.0,23.5,22.0,16.5,10.5,9.25,6.5,5.0
VNM,,,4.25,5.75,7.75,10.25,11.75,13.25,20.25,21.75,23.0,28.5,30.5,44.0,53.75,65.75,73.25,72.75,76.25,85.0,105.25,97.75,79.75
ZAF,256.75,384.75,537.75,664.75,746.5,775.75,745.75,750.0,784.5,803.75,828.25,811.0,768.0,756.75,767.25,797.5,811.5,796.75,756.5,702.75,688.5,538.75,364.5
