Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SRB,,,,,,,,,,,,,-0.172308945,-0.530201382,-0.242864964,0.092066332,0.259872439,0.089296466,-0.037700812,-0.122994747,-0.151271101,-0.040072381,-0.084564765,-0.101618261,-0.002545981,-0.160058951,-0.232447841,
SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,,,,,0.439638911,0.452285202,0.434530431,0.529022306,0.565683023,0.588797237,0.74253512,0.832883586,0.609420576,0.700009855,0.626135101,0.666539061,0.794289937,0.628277978,0.620873801,0.341836056,0.317389387,0.260834202,0.367666769,0.517826273,0.515609896,0.648454436,0.602637093,
SVK,,,,,0.28126239,0.419920817,0.40466661,0.43616009,0.054897357,0.158957395,0.087343151,0.342137245,0.498682746,0.370597683,0.40586071,0.409577855,0.401038638,0.476103315,0.472442317,0.586119597,0.606265038,0.619520381,0.759541032,0.506755817,0.580623576,0.635221419,0.400686198,
SVN,,,,,0.392651119,0.476021351,0.465787555,0.304993919,0.219202174,0.299645234,0.53686343,0.809293416,0.942231546,0.838233136,0.901465648,1.036514736,0.813066381,0.749163744,0.664478092,0.550061254,0.580629752,0.800717671,0.848257824,0.960015284,0.966507668,0.939122888,0.8287686,
ZAF,,,,,0.728312937,0.913423704,1.0048529,1.055416292,1.102988381,1.074057542,1.105739544,1.159314536,1.144991933,1.1613547,1.136652853,1.19019262,1.105477336,1.046618209,1.05279959,1.126230436,1.193544746,1.12873042,1.063787171,1.049340056,1.023989674,0.966022721,0.931745001,
KOR,,,,,0.764758431,0.891563346,0.895851735,1.03655479,1.03339043,1.150650313,1.247954086,1.090136798,1.109797841,1.185482017,1.144048551,1.106335037,1.00646108,0.91302906,0.858857563,0.792443298,0.759797878,0.773026542,0.741640679,0.665474521,0.596072524,0.653056469,0.730921851,
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,0.993587719,0.990258222,0.973904883,0.963837593,1.101594393,1.167714844,1.22397271,1.23745057,1.229830229,1.234786178,1.200328149,1.258406521,1.133598838,1.100087816,1.135692285,1.235057356,1.221405541,1.275837797,1.237487941,1.218231455,1.171290662,1.20646708,1.227137134,
LKA,,,,,-2.595786871,-2.337004444,-1.221622899,-1.026048036,-0.499903099,-0.466260699,-0.503382634,-0.121453835,-0.536578544,-0.316380998,-0.444821777,-0.331707173,-0.002132373,0.156269728,0.074241185,-0.186328533,-0.337803813,-0.40497895,-0.190476137,-0.299111496,-0.341606512,-0.536127534,-0.621732594,
